R_fighter,Avg_sig_strike_att,Avg_sig_strike_pct,Avg_TD_att,Avg_TD_landed,Avg_TD_pct,Avg_Total_strike_att,Avg_Total_strike_landed,R_Stance,Reach,Height,Winner
Adrian Yanez,0.68,1.1904761904761905,0,0,0,0.45751633986928103,0.43902439024390244,Orthodox,1.0447761194029852,1.0307692307692309,Yes
Trevin Giles,1.1841603053435115,0.8740530303030303,0.5125,0.5208333333333334,1.3541666666666667,0.8204845814977973,0.8353102189781022,Orthodox,0.9736842105263158,0.9729729729729729,Yes
Marion Reneau,1.0013147538637666,0.752534276546091,0.42078488372093026,0.8411458333333334,2.7660472972972974,0.8047190135680234,0.6645987426035503,Orthodox,0.9444444444444444,0.9295774647887325,No
Leonardo Santos,0.9177870639534884,1.0973907766990292,0.22058823529411764,0.24107142857142858,0.7747844827586206,0.7363589211618258,0.7279411764705882,Orthodox,1.0416666666666667,1.0285714285714285,No
Song Kenan,0.5642365517550277,1.0736976398043803,0,0,0,0.5117789576782308,0.46680963542965437,Orthodox,0.9342105263157895,1.0140845070422535,No
Derek Brunson,3.4039867254433154,0.6513994994325051,8.670521268267223,5.683406365313653,1.3217879362257852,2.44180600880806,1.8563530002247741,Southpaw,0.9506172839506173,0.9733333333333333,Yes
Manel Kape,1.2771929824561403,1.1187335092348285,4.3076923076923075,1.7777777777777777,0.9955555555555556,1.1157270029673592,1.0851063829787233,Southpaw,1.0303030303030303,0.9848484848484848,No
Misha Cirkunov,0.25158428390367554,1.1869220607661821,0.4114583333333333,0.44,0.6532614345114345,0.572853227771011,0.9237012987012987,Orthodox,0.9746835443037976,0.9740259740259741,No
Angela Hill,2.7746962967013173,0.9732713445807771,0.18530717329545454,0.15003551136363635,0.31050023877745947,1.288961195208231,0.9530157166569974,Orthodox,0.927536231884058,0.9402985074626866,Yes
Jonathan Martinez,1.449606085302907,0.9347240915208613,0.16216216216216217,0.11764705882352941,0.5813953488372093,1.364472049689441,1.2548709847288047,Southpaw,1.0144927536231885,1,No
Dan Ige,1.0837268791814247,0.8326446280991737,0.6993006993006993,0.11971830985915492,0.37359375,1.0832420591456735,0.8787410540013012,Orthodox,1.0757575757575757,1.0151515151515151,Yes
Cortney Casey,0.601546530774472,1.0397321428571429,0.5733695652173914,0.22916666666666666,0.08363095238095238,0.9296063784700148,1.2514503907174994,Orthodox,1,1.0307692307692309,No
Matthew Semelsberger,12.944444444444445,0.9615384615384615,1,2,3.0303030303030303,6.32,4.6923076923076925,Switch,1.0714285714285714,1.0428571428571427,Yes
Rani Yahya,15.069845581054688,2.393321990966797,5.56170654296875,1.2501373291015625,0.26658737182617187,21.098907470703125,51.188934326171875,Orthodox,0.9571428571428571,0.9850746268656717,Yes
Dominick Cruz,0.8285757438453406,0.7739549839228297,1.724770642201835,0.8055555555555556,0.5489913544668586,0.8484078337569143,0.6494055068836045,Orthodox,1,1.0149253731343284,Yes
Song Yadong,1.1709857723577235,0.9005376344086022,0.21875,0.078125,0.125,1.1770454545454545,1.1117294520547945,Orthodox,0.9305555555555556,1,No
Petr Yan,1.8210475997537032,0.9268321324621075,0.5799251984066652,5.648024628014366,17.232876712328768,1.9446128137246443,2.202564195310265,Switch,0.943661971830986,1,No
Jan Blachowicz,0.7394949295166858,0.8630880885505212,6.090625,0.0430908203125,0.0228076171875,0.7838891094497181,0.7483900785028387,Orthodox,0.9750000000000001,0.9736842105263158,Yes
Thiago Santos,1.2687709716796876,0.8126626479565798,0.1879295935997596,0.7742365056818182,3.6063194976993866,0.8890336500042059,0.6395741937843713,Orthodox,0.9743589743589743,0.9736842105263158,No
Joseph Benavidez,0.7463033670521064,0.9688270738389756,0.12839333216349283,0.25247859954833984,0.35523310015278475,0.7170984195757516,0.6344442568750824,Southpaw,0.9701492537313432,0.9696969696969696,No
Amanda Nunes,10.355030596482889,1.043571596612296,6.637939453125,20.51806640625,5.065849609375,6.2194318181818184,4.953949652777778,Orthodox,0.9583333333333333,0.9444444444444444,Yes
Islam Makhachev,0.6015235704525759,1.105086737970974,17.346400811084827,20.28985507246377,9.070788253477588,0.9558220840202951,1.3193493662270048,Southpaw,1,1.0294117647058825,Yes
Tim Elliott,0.8163163684997699,1.0773630184977578,7.175048828125,3.708984375,1.2588515361952861,0.8979167198346264,0.9426253362996688,Southpaw,0.9565217391304349,1.0151515151515151,Yes
Livinha Souza,0.6582446808510638,0.8100775193798448,2.75,1.0833333333333333,0.46499999999999997,0.7769953051643192,0.7378472222222222,Orthodox,0.9692307692307693,0.984375,No
Rogerio Bontorin,0.24444444444444444,1.0572207084468666,1.6842105263157894,6,2.5614035087719293,0.3163841807909605,0.5061511423550088,Orthodox,0.9710144927536233,1.015625,No
Sean Brady,0.9006664577457433,1.1843871059740632,1.2264850095444848,1.5558763199878447,1.766706181579372,1.113986751759802,1.323105581498991,Orthodox,0.9863013698630136,0.9859154929577465,Yes
Mario Bautista,2.06,0.6442307692307693,0.375,0.25,0.5,2.1227272727272726,1.814516129032258,Switch,0.9857142857142857,1.0298507462686566,No
Jairzinho Rozenstruik,0.5966867469879518,1.1393939393939394,0,0,0,0.6089517078916372,0.6024340770791075,Orthodox,0.9629629629629629,1,No
Alexander Hernandez,0.8678414096916299,1.4968750000000002,0.58,0.7,0.4377104377104377,0.8625346260387812,0.9865350089766607,Orthodox,1.0285714285714285,1,No
Pedro Munhoz,2.27015341907788,1.0577231427044362,0.12733600305110604,0.027387640449438203,0.05163673232908459,1.8883165000694155,1.6449251618653176,Orthodox,0.9558823529411764,1.03125,Yes
Alex Caceres,15.078547159830729,0.66367284935641,0.2895822525024414,0.2573556900024414,0.2531222915649414,15.385604540506998,10.530662250518798,Southpaw,1,0.9859154929577465,Yes
Alexis Davis,0.5186423459485686,1.062180688010899,5.94140625,0.900390625,1.7037499999999999,0.7256008503007867,0.926396803766105,Orthodox,0.9714285714285713,0.9850746268656717,Yes
Nikita Krylov,1.5861638606108066,1.1227740678909295,9.590711805555555,11.833333333333334,7.282828282828283,2.4173007667286246,3.0293301780341024,Orthodox,1.0266666666666668,1,No
Dustin Jacoby,1.2685185185185186,0.8099999999999999,0,0,0,0.7411167512690355,0.4583333333333333,Orthodox,0.9743589743589743,1,Yes
Aleksei Oleinik,1.362738037109375,0.6218638846544715,0.98876953125,0.898681640625,0.62992919921875,1.6838434392755681,1.5507054822198276,Orthodox,1.0526315789473684,0.9866666666666667,No
Charles Rosa,9.692057291666666,0.6321120689655173,3,0.453125,0.0534375,4.86734693877551,2.200284090909091,Switch,1,1.0298507462686566,No
Phil Hawes,0.1,1.0327868852459017,0,0,0,0.0873015873015873,0.08641975308641975,Orthodox,1.0266666666666668,0.96,Yes
Curtis Blaydes,1.6205274521038082,0.9708026099193614,13.143285879307935,13.074680774988032,0.8663533123776864,2.4018197117788396,2.6063801154976844,Orthodox,1.0126582278481013,1.0133333333333332,No
Eddie Wineland,0.6378361628605769,1.0760556175595237,0.527099609375,3.662109375e-4,2.84423828125e-4,0.5895900861591312,0.44806832978219696,Orthodox,0.9718309859154929,1.0151515151515151,No
Andrei Arlovski,5.347857895333852,0.5329201722790191,0.1333067426458001,0.0471210484392941,0.0121552281267941,5.257050527298513,3.259936873421625,Orthodox,0.9871794871794872,0.9740259740259741,No
Jared Gordon,0.6063920454545455,1.2560369318181817,1.12109375,0.5078125,0.32906250000000004,1.7241426991150441,3.0294471153846154,Orthodox,1.0149253731343284,1.0147058823529411,Yes
Ketlen Vieira,1.4695845697329377,0.6192794547224928,1.6833333333333333,1.46875,0.9650655021834063,0.7486187845303868,0.46232596232596235,Orthodox,1,1.0303030303030303,No
Nate Landwehr,0.7650531286894924,1.042995839112344,0,0,0,0.7440465029064317,0.81312525010004,Orthodox,0.9729729729729729,0.9452054794520548,No
Maycee Barber,0.33627362736273625,1.1269102990033222,0.4878048780487805,0.24242424242424243,0.09696969696969697,0.3195120180088592,0.34168687685260035,Switch,0.9848484848484848,1,No
Belal Muhammad,1.5095452552708142,1.3034284425397542,2.049484536082474,1.859732824427481,1.506164224238195,1.6184664295721523,2.013126171979641,Orthodox,0.96,0.9594594594594594,Yes
Maki Pitolo,1.146919431279621,1.009259259259259,0.4375,0.625,0.375,1.1754587155963303,1.313953488372093,Orthodox,1.0416666666666667,0.9459459459459459,No
Kamaru Usman,2.2757242144018117,0.9496583848467294,1.9896210618817467,2.4846291443071675,1.121115467251423,2.503407347384868,2.471310078978015,Switch,1.0704225352112675,1.0285714285714285,Yes
Ricky Simon,1.2347788671358761,1.3851147174034697,6.702154626108999,18.33142857142857,4.794908512330947,1.5451806364601566,2.4021279924894383,Orthodox,1.0454545454545454,1,Yes
Kelvin Gastelum,0.9272394144310141,0.3524542359690808,0.6578216552734375,1.0030343191964286,3.9468733306623935,0.8570065620617989,0.6322870317673841,Southpaw,0.9861111111111112,0.9718309859154929,Yes
Polyana Viana,1.1525735294117647,1.1508620689655173,1.1875,0.75,1.175,1.0547619047619048,0.9788461538461538,Orthodox,1.0634920634920635,1.015625,Yes
Rodolfo Vieira,0.6490066225165563,1.900990099009901,2,1.6666666666666667,4.303030303030303,0.8850574712643678,0.9894736842105263,Orthodox,0.9733333333333334,1,No
Andre Ewell,2.275894538606403,0.6954689146469969,0.19230769230769232,0.05,0.05555555555555555,2.2329921733895244,1.54052734375,Southpaw,1.1194029850746268,0.9855072463768116,No
Karol Rosa,1.6264044943820224,1.0204081632653061,0.6666666666666666,1,0.25,1.5703883495145632,1.5945945945945945,Orthodox,0.9571428571428571,0.9558823529411764,Yes
Devonte Smith,0.49361702127659574,1.2542372881355932,0,0,0,0.48945147679324896,0.6078431372549019,Orthodox,1.1176470588235294,1.0298507462686566,Yes
Michael Johnson,1.680483218225153,1.1140892543720686,0.027831823970304665,0.04284503855536477,0.3375487859889886,1.508472933996777,1.4610560083584527,Southpaw,1.042857142857143,1.0447761194029852,No
Alistair Overeem,1.0056089629469465,1.4179007300349675,4.270170171210107,4.90699624115566,3.8213922464622643,0.9413938418824225,1.1623864574967144,Orthodox,1,0.9620253164556962,No
Diego Ferreira,3.250588007792013,0.7029133692336123,1.6816719024231965,2.1666260261724783,0.9791003994156808,3.187220295986975,2.174603658142795,Orthodox,1.027777777777778,0.9857142857142857,No
Cory Sandhagen,0.3522086227706993,1.0350632340206674,0.06356075488571597,0.1445245631222651,0.4421876879691887,0.36868760913606824,0.4598814933249317,Switch,1.0294117647058825,1.0757575757575757,Yes
Mike Rodriguez,3.7698863636363638,0.9570312500000001,0.03125,0,0,3.7788461538461537,3.7960526315789473,Southpaw,1.0649350649350648,0.9743589743589743,No
Ode Osbourne,0.1308411214953271,2.1333333333333333,0,0,0,0.17857142857142858,0.3275862068965517,Southpaw,1.013888888888889,0.9571428571428571,Yes
SeungWoo Choi,1.8756660746003553,0.9488636363636362,0.25,0.3333333333333333,1.1764705882352942,1.8976279650436954,2.040632054176072,Orthodox,1.027777777777778,1.0285714285714285,Yes
Molly McCann,0.5293103448275862,0.8169642857142857,1.2875,1.625,0.22375,0.5673894557823129,0.5096153846153846,Orthodox,0.9253731343283581,1,No
Timur Valiev,1.0108695652173914,1.1570247933884297,0,0,0,0.8773584905660378,1.1578947368421053,Orthodox,0.9178082191780822,0.9428571428571428,Yes
Andrew Sanchez,0.63330078125,1.0617187499999998,1.421875,0.90625,0.1090625,0.7220162429378532,0.7705144557823129,Orthodox,0.9866666666666667,0.9864864864864864,No
Julianna Pena,1.6273668368280827,0.7971889359401747,1.0775646371976648,1.0132450331125828,0.9227247553996677,1.5498931599384234,1.3855483605714873,Orthodox,1.0454545454545454,1,Yes
Jessica Eye,1.6267150203220084,0.6436367400863684,0.2539543057996485,0.054959785522788206,0.03941559806600799,1.391581121489565,0.8828539336251419,Orthodox,1.0153846153846156,1,No
Dustin Poirier,2.886148668054289,0.820397337753561,49.0464713705245,244.75826009114584,74.8099356515067,2.761161756599427,2.6966029453768217,Southpaw,0.9729729729729729,1,Yes
